location,time,life_expectancy,fertility_rate,pop_mlns
AUS,2014,82.4,1.8,23.491
BEL,2014,81.4,1.7,11.22728
CAN,2014,81.8,1.6,35.54
CZE,2014,78.9,1.5,10.52478
FIN,2014,81.3,1.7,5.472
FRA,2014,82.8,2,64.06225
DEU,2014,81.2,1.5,80.896
HUN,2014,75.9,1.4,9.863
ISL,2014,82.9,1.9,0.3273855
IRL,2014,81.4,2,4.6099
ITA,2014,83.2,1.4,60.44791
KOR,2014,81.8,1.2,50.424
LUX,2014,82.3,1.5,0.5497
MEX,2014,74.8,2.2,119.713
NZL,2014,81.5,1.9,4.5097
NOR,2014,82.2,1.8,5.137
POL,2014,77.7,1.3,38.484
ESP,2014,83.3,1.3,46.46405
TUR,2014,78,2.2,76.90287
GBR,2014,81.4,1.8,63.65001
USA,2014,78.9,1.9,318.857
CHL,2014,79.7,1.9,17.81905
EST,2014,77.2,1.5,1.315819
SVN,2014,81.2,1.6,2.061623
ZAF,2014,57.2,2.5,54.002
AUS,2013,82.2,1.9,23.126
AUT,2013,81.2,1.4,8.46857
BEL,2013,80.7,1.7,11.17844
CAN,2013,81.7,1.6,35.154
CZE,2013,78.3,1.5,10.51072
DNK,2013,80.4,1.7,5.614932
FIN,2013,81.1,1.8,5.439
FRA,2013,82.3,2,63.78614
DEU,2013,80.6,1.4,80.611
HUN,2013,75.7,1.3,9.893
ISL,2013,82.1,1.9,0.323764
IRL,2013,81,2,4.5931
ITA,2013,82.8,1.4,60.22473
JPN,2013,83.4,1.4,127.298
KOR,2013,81.4,1.2,50.22
LUX,2013,81.9,1.6,0.537
MEX,2013,74.6,2.2,118.3951
NLD,2013,81.4,1.7,16.80443
NZL,2013,81.4,2,4.4421
NOR,2013,81.8,1.8,5.08
POL,2013,77.1,1.3,38.502
PRT,2013,80.8,1.2,10.45729
SVK,2013,76.5,1.3,5.415949
ESP,2013,83.2,1.3,46.59323
SWE,2013,82,1.9,9.609
CHE,2013,82.9,1.5,8.14
TUR,2013,78,2.1,76.05462
GBR,2013,81.1,1.8,63.23794
USA,2013,78.8,1.9,316.498
BRA,2013,74.2,1.8,201.4671
CHL,2013,79.5,1.8,17.63158
CHN,2013,75.6,1.6,1385.567
EST,2013,77.3,1.5,1.317997
IND,2013,67.7,2.4,1252.14
IDN,2013,68.8,2.4,249.8656
ISR,2013,82.1,3,8.059
RUS,2013,70.7,1.7,143.507
SVN,2013,80.4,1.6,2.059114
ZAF,2013,56.8,2.5,53.158
AUS,2012,82.1,1.9,22.728
AUT,2012,81,1.4,8.426311
BEL,2012,80.5,1.8,11.12825
CAN,2012,81.5,1.6,34.88049
CZE,2012,78.2,1.5,10.50929
DNK,2012,80.1,1.7,5.591572
FIN,2012,80.7,1.8,5.414
FRA,2012,82.1,2,63.514
DEU,2012,80.6,1.4,80.413
GRC,2012,80.7,1.3,11.09
HUN,2012,75.2,1.3,9.92
ISL,2012,83,2,0.320716
IRL,2012,80.9,2,4.5854
ITA,2012,82.3,1.4,59.89803
JPN,2012,83.2,1.4,127.515
KOR,2012,80.9,1.3,50.00444
LUX,2012,81.5,1.6,0.5249
MEX,2012,74.4,2.2,117.0538
NLD,2012,81.2,1.7,16.75496
NZL,2012,81.2,2.1,4.4081
NOR,2012,81.5,1.9,5.019
POL,2012,76.9,1.3,38.534
PRT,2012,80.5,1.3,10.51484
SVK,2012,76.2,1.3,5.407579
ESP,2012,82.5,1.3,46.7664
SWE,2012,81.8,1.9,9.519374
CHE,2012,82.8,1.5,7.996861
TUR,2012,74.6,2.1,75.17583
GBR,2012,81,1.9,62.8588
USA,2012,78.8,1.9,314.1121
BRA,2012,73.9,1.8,199.6889
CHL,2012,78.7,1.8,17.4448
CHN,2012,75.4,1.6,1377.065
EST,2012,76.5,1.6,1.322696
